Gamma,Beta,Alpha,Theta,Delta
46.87269234,15.58268272,8.565196923,5.585702341,0.821556116
47.70465988,16.30629493,9.397030802,5.92235605,1.565823731
40.26778165,17.65439732,8.076945248,6.238085673,1.208948129
49.84651164,15.32616504,10.56301385,5.314892899,2.891670966
48.27644941,14.18894623,11.35440866,5.843816268,2.660618318
42.12719872,15.53245346,8.117727991,7.224580132,0.951006694
40.06580187,15.7729421,8.51020081,4.230959664,0.859974731
38.26145347,14.21581622,10.45620806,6.93349064,2.716762965
42.89241004,16.19343966,11.22624198,4.470087976,2.7542393
35.97268304,16.48919317,10.88615542,4.302874891,1.19606397
34.54969914,15.78094278,11.18265529,5.454370398,0.890451605
37.80176467,17.45346671,8.809603844,5.514930177,1.793239017
32.95994366,15.80078298,9.935792132,7.121295646,1.043393853
32.65458697,12.26136461,8.0443228,6.214603298,1.713325201
48.43453912,17.28027109,9.392257045,7.669976114,1.973599823
43.71930455,15.56567684,9.40235505,5.938014558,0.619517788
40.76446108,16.12377808,8.164323413,7.671055147,2.006374132
41.48589671,14.1520464,8.424925117,6.818569744,1.869276243
44.20198597,15.89473544,9.416489922,5.489184479,1.165187809
43.80702758,17.75921086,8.744042976,6.227198382,0.74627388
48.50017554,17.91447094,11.03091378,5.648872048,1.845539268
48.65981736,14.04186244,11.68238505,4.376084355,2.426500042
35.69895162,13.33173738,8.119643155,7.275768742,2.166167809
44.22203446,16.82282237,11.27637122,6.896493196,1.422615807
46.74642585,16.60938916,10.7120484,7.051077403,2.13021072
46.93613379,16.6209099,9.259668201,7.069117312,0.924448327
41.81520974,15.93576495,10.81607946,7.126903407,1.304367708
30.9976818,16.72457554,8.212467676,4.155289768,2.934089421
43.36465057,12.53080382,10.72263132,7.332468512,0.99521904
33.85721487,12.10096524,11.67926352,7.274711909,2.429707302
36.95239546,14.06354349,11.15107698,6.626189565,1.11603305
47.2743577,17.05682867,8.012104446,4.735511841,2.529281723
33.73384897,14.7856042,11.82295051,6.752138805,2.463664608
34.94688981,17.90515581,9.579586269,5.835400035,2.307511032
40.26796211,16.67006112,8.391805728,5.050402812,2.50575958
42.48676158,14.45591879,11.11178513,4.952684005,1.918097908
42.86850431,13.39922798,9.447256589,5.117779458,1.342962363
40.62698983,17.49740426,8.075323011,6.97504277,2.213328414
39.17847613,14.65692854,10.06993679,6.49618686,1.153682179
43.41924348,14.86701706,10.90213871,5.394069792,2.352039692
43.82764804,16.16879822,9.030506465,5.353281583,1.161171482
42.58939288,12.39716777,10.89543628,4.95996531,1.467286121
42.82979799,17.5548486,9.411055193,6.042230562,1.726172579
46.36012493,15.27237006,8.352466,4.666692501,1.863159783
49.42197072,14.83170047,10.88899566,4.652436807,1.078905285
38.36129232,17.73260829,9.06667154,6.59699615,1.687560787
33.02514552,17.75176019,9.800261152,5.200868026,2.052993089
37.13384817,12.3594821,11.6527213,7.99153653,1.126538267
40.51966725,13.85445178,11.02289553,4.417690614,1.088146665
48.74875247,16.29729675,10.68136734,5.444129067,1.488328986
41.46454679,15.01463562,11.62233812,5.93039787,2.096839017
34.35355958,17.97192696,9.980473256,4.031294896,1.567528851
32.94756531,14.87142088,9.270544999,6.821563952,1.112147153
34.55042935,14.1437272,9.109372361,6.553838021,0.626204293
42.24797332,15.86330918,11.16335446,4.720046451,0.719727728
32.6846339,13.80552507,11.7450412,4.269610926,1.160396631
39.95701745,13.30489219,10.82976959,7.010836497,1.672048153
41.54914105,12.43367627,8.840344461,6.956582295,1.000450567
32.47472747,14.37520971,10.06137942,6.253169644,2.358090968
34.41604023,14.25164762,10.28597098,5.756086275,0.924775462
31.52084754,14.69999988,8.993247285,5.083176429,2.74291177
44.76707775,12.6778439,11.33656108,5.496120986,0.892559395
45.07349938,14.79125426,10.79804382,6.33515094,1.207328975
30.68282552,12.36851005,8.4854387,6.704033879,0.548139925
40.6895514,17.26297216,10.60845787,6.079893558,2.026323261
31.66258697,13.50639847,10.12484902,4.391960141,1.251535092
43.05527799,12.21201754,10.89161216,5.619820407,1.285151559
32.39369429,17.70691308,9.236707089,5.679327769,2.33204124
42.59052589,17.29443067,11.26693939,4.22709282,1.845641702
43.41229691,14.5846652,8.119107147,4.730997339,1.744406667
43.42514982,12.12077294,9.007244391,5.153208815,1.987639039
30.81315272,16.48645157,11.98308022,7.467012779,2.792431308
41.42885314,12.12709412,9.369158443,5.700826301,2.04534655
49.29121712,13.06460561,9.516208611,6.872772845,1.669590514
31.39654183,17.63328495,8.533363582,5.707974792,2.118546227
43.28417166,16.69377163,9.384991279,5.859082586,1.856046283
44.76286871,14.35743978,8.176043557,7.740485763,1.169583885
42.37369143,15.85981151,9.06855463,5.622580422,2.573055218
42.55419817,17.6219468,11.81894978,6.882319285,1.531755993
46.66135944,15.76947203,9.312459348,5.037207494,1.430288932
42.37012254,15.07700537,10.60796171,5.422396931,1.531745357
33.99200916,16.77271409,8.680489005,5.443307676,2.669928831
46.31682445,12.26503296,9.672673517,4.839330097,1.895169836
41.52398986,14.76478482,8.287422251,5.594481821,1.831003172
41.36729272,13.38418421,11.1533468,5.809662488,2.216823579
36.70477394,15.23280444,10.88316606,6.208312643,1.698035001
36.31198601,12.86231132,10.06944483,7.928275758,1.476192797
38.88907527,14.1851227,9.263181898,4.765424643,2.437473402
37.9734204,14.63772057,10.03256919,4.178054684,1.926779082
38.55458848,14.82882803,10.58059655,5.988146162,2.035907269
46.87561886,14.17092091,10.01989196,7.532690064,2.304714969
42.84855913,17.71626701,9.415732574,4.673327505,0.636044876
39.55801981,16.67304949,9.720104157,7.026349496,1.878945232
33.43605978,12.40083546,9.646611147,4.299123608,1.60573135
39.54726163,12.90133169,9.669926959,4.056847568,1.471208704
40.79121647,16.62528555,10.18089286,6.801344511,0.602899841
31.59146497,12.30388107,10.35350707,4.083552494,1.583687903
47.85286204,15.09162049,8.086012526,4.565585798,0.812811464
44.93696691,14.45548169,11.82879835,6.769773857,2.568680163
42.97041281,12.38913844,10.73959919,7.859974726,0.617498353
44.28897575,13.82993749,11.44197736,4.465185869,2.972961368
30.8490231,17.34911511,9.103443208,6.006918551,1.476883944
34.63694284,14.63254817,9.01366182,6.873780869,2.164814298
35.82684272,13.24860217,9.369798852,6.11582612,1.696622941
38.72401066,14.20579712,10.33607254,5.740230778,0.776946687
47.15484025,17.1003147,9.602283755,6.788299808,2.269653002
38.14815408,13.88607186,8.257508607,6.524279139,2.16517256
45.24059483,12.94825942,10.09858114,4.852396354,0.673700214
42.66080893,17.4675098,11.53464781,4.47846229,2.919513424
32.81754375,13.77237876,11.39933477,7.414322445,2.006138406
47.44120275,14.48634334,8.664283661,6.391108152,1.884930904
39.3733554,15.16126391,10.69333911,7.407114938,2.049886731
42.98902432,12.7195494,11.20034837,7.619069637,0.735055838
47.30458894,15.32611665,9.485488001,6.648214602,1.722471665
47.466357,14.8122387,11.95601539,5.265287668,0.664677581
45.0304035,12.78661333,11.78868311,6.736489764,2.214588256
39.14549434,12.5084668,8.658793384,7.662087712,0.587256122
38.45139755,13.28529387,10.31512663,5.738876705,1.090564736
32.08222532,16.06843075,11.6227307,7.309129334,2.220658329
33.29433865,16.4150831,11.03238435,7.439111283,2.358493247
34.52997302,16.65648778,10.21586712,5.019042185,1.271123571
49.82513356,17.86802612,8.596174009,5.027382832,2.932141589
44.87697168,17.31582877,11.03526041,4.139464344,2.164840381
33.51391888,16.53651173,10.95614443,4.351346043,1.240509431
30.05461828,12.29466944,10.14720502,6.23665542,1.507177447
33.22081951,16.27403415,10.54300552,5.341993832,1.194287597
47.18571,14.59074907,10.16189725,5.729061123,1.47245245
33.96128162,16.70328834,9.443321428,7.644091078,0.693902063
46.94154603,16.81842918,9.896851771,6.814512109,2.0850757
47.88818733,17.15250672,10.08254697,5.554908415,1.388306567
49.28236826,17.12191603,10.31381165,4.814579731,2.739332884
49.64058509,14.55388038,9.221194181,7.800255531,2.621739946
49.32220387,13.47436173,9.82260829,7.178541163,0.652280402
37.14237977,13.95341346,11.69860305,5.041442205,2.242389174
37.7547751,17.36919208,10.97149087,4.960988404,2.210873058
47.93319394,12.42120838,11.9096236,5.70831798,2.734061001
48.87946322,17.22190782,11.85457821,7.122055263,2.171476789
39.17987469,16.36992206,8.41763248,7.62950767,0.951194402
47.24630855,14.97320443,11.93387544,4.358698643,0.842773085
40.94329533,12.29736069,9.423968459,6.986567653,1.063971125
33.93693163,17.63230414,10.62273561,7.317328779,1.740471867
38.47005266,12.90520606,11.45317606,7.836124526,2.444764389
35.21016,12.02637555,9.294334667,7.996281115,0.5890188
42.24668854,17.95023272,10.65898004,7.435065795,1.973579482
32.08722467,12.83762011,8.36808511,4.500702718,2.65722926
49.03234729,17.51665632,10.48187864,6.752902661,2.90372054
48.40514125,15.57029896,8.591236749,6.139523218,1.653342253
41.12185927,16.28459024,9.37608961,5.580631292,1.110109084
33.95766901,13.75827686,11.58603204,6.245295623,2.32375242
36.6117169,14.44252407,8.771226588,6.018978093,2.05392383
34.4996534,13.58074418,11.72999368,6.034853167,2.8963119
44.59080367,16.36062306,9.574800853,6.659339846,2.621224608
38.8424201,13.26591768,10.40512392,7.088081106,2.361398148
33.46678778,16.61163979,10.29462573,4.993995373,1.694350335
46.30070902,17.7324873,9.109719475,6.372496275,1.524839861
34.62268956,15.42221019,9.170720202,4.249051433,1.273832094
39.51769031,16.14447019,11.71122761,4.722591985,2.320968582
43.11261058,13.2794192,9.421948109,7.825606771,1.67915772
30.0409155,13.21944298,8.993986638,4.199333901,0.500300921
47.8500167,13.26463505,11.83339044,5.994908194,2.692876809
38.92770504,14.67001462,11.9075353,7.979251841,1.881534203
30.04545926,13.49795833,9.263941945,7.114424831,2.484170727
39.71781172,12.81092728,9.739678056,5.765228108,1.863150201
37.58286594,13.05077893,11.09080068,6.871366829,1.750367549
46.08583938,17.11633962,9.914349959,7.833024631,2.985310879
33.21223844,12.25743848,9.43308747,7.57606252,1.948117
43.62295716,17.52684868,10.71008371,7.026140093,1.068840297
39.11684376,17.35462033,10.02926055,4.164485563,1.430064511
39.52303427,16.30601268,11.59372882,5.022021958,0.83391258
33.50278272,17.97171247,8.565712771,4.99406507,2.179782423
49.66760054,16.0978336,11.90024589,5.639748754,0.806780946
33.30220394,13.88775355,11.7140336,7.658461089,2.419584206
47.93276774,17.33537849,8.342545482,4.809337408,1.113024403
48.91277607,17.20853488,10.38155847,5.439328291,0.725730825
47.21399512,15.77358012,10.86297291,5.919901136,2.769368007
43.4909332,14.0719891,11.9759618,6.404754921,2.03291029
43.60825256,14.12717119,9.306857178,6.192001965,0.614766699
40.51737437,17.18330417,8.270772646,4.81319958,0.996976915
48.87419565,16.51400708,10.3740667,5.093657808,1.599762226
35.95286001,13.50807076,11.46792315,7.72119057,1.252848462
49.34726193,15.27315059,10.10405517,6.542420362,1.722590065
37.65609498,12.08039506,10.49229673,7.955838801,2.508793456
44.42935979,17.40244625,11.08799718,7.396185726,1.18599299
34.02358628,17.77392669,9.2342127,5.672624576,2.639097072
47.49797968,14.61847232,11.04373543,7.725382105,1.728614734
30.57994573,16.06016343,10.87745324,5.409932481,2.983630983
30.94462643,16.8638904,11.51243069,4.496118628,2.587774592
42.29804621,15.74538145,8.536947552,7.998370244,1.831606873
44.86887371,16.80991882,11.94107643,4.044658782,2.456191643
39.31980684,15.77846796,11.53348407,5.983931503,1.37582021
47.91152035,15.83070224,8.909280655,5.525410414,1.903433133
44.87531252,14.39802816,8.628155063,6.383470368,0.61506374
48.30781707,13.40556487,9.769046361,6.872663095,2.095464404
48.21448792,16.09490121,8.293553598,4.597932394,0.715816034
39.72948862,13.35522604,8.616270304,5.724863735,1.068145622
39.46935779,15.30905067,10.56391209,4.67058302,0.594643464
34.66144214,15.07944841,11.02247622,6.254262698,1.445178359
48.66228786,17.77142077,10.02101202,4.481426767,2.437558079
35.01711179,14.13075025,9.155720801,5.628764223,0.662391087
37.09927788,12.78571171,11.58960001,5.105409347,2.921968331
40.56956031,17.365538,8.89330669,6.302057122,0.660249612
44.12742159,13.12436782,10.23624607,7.958203181,2.120284776
32.09134816,15.7049147,8.830567807,6.558573471,2.202852413
36.91705558,15.47611289,8.442046554,6.431526375,2.887022077
47.80487728,17.88357541,9.877041828,7.589905124,1.195286941
48.7992943,14.76605324,8.640379324,7.20953339,1.653177648
38.69394384,17.04047625,9.481833533,6.558588457,0.958717373
40.28493574,17.44055924,9.294115965,6.970795512,0.874903826
41.83939009,16.97835807,8.446034706,7.903207862,2.76717062
48.06497326,12.42923589,9.151662579,5.869612424,1.660016644
44.15811147,14.51052838,10.67411814,5.127893762,2.569493028
35.5094905,17.90839583,9.152753697,5.807477832,0.864108442
41.39724124,13.76726019,8.075948199,5.056045896,0.537613407
48.68433494,16.36682376,9.646754454,5.916693639,1.094299404
30.29509218,13.42617206,8.320985864,4.486558461,2.135527854
37.12058402,16.14754737,10.23252442,5.032515597,2.732387517
31.41578541,16.93317304,9.148185299,5.748919905,0.719189724
33.00597357,14.01455286,11.42026488,4.295183064,2.872097036
43.30168525,12.33990152,8.081137929,7.571768159,2.976143303
34.4643191,15.02244197,9.673953762,4.185309154,2.005228286
49.76840401,16.26392746,11.78890002,5.027644116,1.894902907
32.71993822,12.20736268,10.48587275,5.820152656,2.403354928
35.69856066,15.33769118,10.42668645,4.124990699,2.431284519
39.1361592,15.37752742,8.050346839,4.539491157,2.132978523
32.39118904,14.75703395,8.192733081,6.434486611,1.80874981
46.53817933,15.94379851,11.31285146,5.138695987,0.521954437
49.18402116,13.39804382,10.18282021,7.80041108,0.590927278
32.17965468,15.22655058,9.183286649,5.491102611,0.669278673
41.32169841,12.71500206,9.567394559,5.260640357,2.028012415
39.50965673,17.40790221,8.06689463,4.324918746,2.049221092
43.62584645,15.24089818,11.15106423,4.326232623,2.520360376
35.50837853,17.55354061,9.977400493,6.48278965,2.527236705
37.11890031,12.46587517,8.832031301,4.712394698,0.815628229
45.30561337,14.41913875,11.37286648,4.250041996,2.877824825
31.49177988,12.23702865,9.832910905,5.280584984,2.999039597
48.54096104,14.86021736,8.921438226,7.779840926,0.507411039
35.2475986,16.19108175,10.13455447,5.022101818,1.96688648
31.61961354,12.31166511,8.003548443,6.889561333,1.195615172
38.38822737,17.96255894,10.52757382,4.952971228,0.758092147
36.19493124,16.29366899,8.150403666,4.149098398,0.982971119
49.74976246,16.75676431,11.39822165,6.272384679,2.116878983
35.97771215,17.64895803,9.965498603,6.108203172,2.337126502
40.07812343,17.69884064,11.49964907,6.814192269,0.590297845
34.85969459,15.66326048,11.73923579,5.788028146,1.330057891
30.6769226,13.27379114,11.44430915,5.091133477,2.292065768
32.66256045,13.78732712,9.913651203,5.290051929,2.458492985
35.65134204,15.14121735,10.42141499,6.706373855,0.644890183
38.71801359,16.98062127,11.43558139,5.421978428,1.080145377
49.32447777,15.02770096,10.59428604,5.674217988,0.749869344
49.77774328,13.54804573,11.17806258,5.514585393,1.545039596
31.41285468,15.57926308,11.60654229,5.451675752,1.536604922
42.695276,17.95771339,9.231862308,5.940347837,0.762513957
42.11889,16.66374143,11.93565755,7.214675149,0.589686626
35.89301966,16.75836543,11.58955862,6.818813352,2.421727819
42.21367567,13.53095566,11.85453331,4.021947439,1.054065718
30.94604379,17.41315305,11.83328221,4.872781269,2.611068576
44.38866855,12.46686077,8.00486365,7.076250398,1.352673946
32.3085013,12.60293139,11.44879179,7.658637804,2.97375282
36.03418899,16.39840938,9.295574214,4.597512777,0.83715718
33.39697885,15.6578834,9.750108752,4.821756586,1.767671526
34.17495282,17.171691,9.749800063,4.816405312,1.665314208
49.11403708,12.29274512,8.494666317,6.791049589,1.283418561
39.52333721,14.33089521,8.610224813,7.25671376,1.137717202
31.64388727,15.70716449,9.520776921,5.034717079,2.268560406
39.84836363,13.95477631,11.01218496,4.637620745,0.590516347
40.76084058,13.40767443,9.261287695,7.653184749,2.735994902
48.70175273,16.82667206,8.608448465,7.622673742,1.47136197
36.8999954,12.01062304,10.3153332,6.937708598,2.231343925
44.49048141,17.6993497,9.547597239,5.632524851,2.495907763
48.11071053,15.79501039,8.595468318,6.956550593,2.005564446
48.52096909,14.40957274,10.78482925,4.178220396,2.662425989
36.96296666,15.18677525,11.0518081,4.704265822,2.031092198
42.76538971,16.46901462,9.286176645,6.103826851,0.625181781
34.51200151,16.37494339,10.52065628,7.290126717,2.092493293
31.02974875,15.86960805,9.6056625,6.8947562,1.973088204
39.23180604,13.53215356,9.336482951,4.095720658,0.866569455
41.48189383,15.30693791,10.55734482,5.638800741,1.372349115
40.991268,13.35765222,8.454518004,5.775015604,2.123947595
43.70667416,16.42856514,10.21707243,5.07250728,1.150639949
40.55495322,12.75617242,10.9933074,7.804943035,2.10541613
31.24945097,16.61659377,10.42762716,5.244318653,2.255793287
49.02227103,16.91865973,9.508879808,5.244428776,2.742746868
42.12091261,17.74309587,8.812646811,7.505455422,2.163492035
36.35351467,13.80592116,8.974146314,4.440958373,1.661166378
37.56621903,15.54294922,11.02457845,5.098423589,0.72565841
38.72831518,16.95525857,8.907212858,6.510316812,1.560525462
39.8155059,12.63819821,8.58155484,4.080783344,0.689961512
36.95900905,13.28240168,9.200411768,5.741454017,2.167780147
34.08524823,12.95655601,10.6714087,5.221513046,1.010975088
45.6864276,15.22425796,9.034025323,4.858349518,1.725747768
31.14014141,12.59804587,8.822221311,4.164186207,1.280898133
44.99318612,15.8950407,9.921311052,5.138151272,1.406033611
42.26688772,16.52586187,9.903424277,7.056061014,2.459457746
38.02483634,12.44313532,9.503485054,5.629305336,1.872481374
43.77261453,16.35551256,8.695368928,7.475497992,1.857884077
47.13399811,12.70984706,8.962409521,5.90627432,1.737708798
39.62538,15.0627449,11.52640277,4.022580452,1.536401143
45.26937896,14.26293813,10.34187103,5.535982268,1.577922231
36.88009744,17.26240675,8.073447044,7.772269379,1.611068013
38.95819549,14.89476119,11.69845452,7.183279015,0.535700712
42.3957089,17.03532571,8.489929083,7.685702456,2.169203851
34.98690717,16.57933117,10.61339703,7.658230158,1.265840845
41.39636439,17.28502863,8.140883603,6.794042506,1.049418916
43.87948999,15.9482024,9.906855949,6.083616183,1.598917442
40.91631116,12.73056878,9.20243666,6.535142377,1.980283188
37.16379337,13.312278,11.79633611,4.766535507,2.733704223
32.01571747,12.81255571,8.051615449,7.941280945,0.703940995
31.36084534,15.05681695,11.31179608,4.641550832,2.75471788
45.93328402,15.67777215,11.50592027,4.333190203,0.996169644
35.24142303,17.88669649,8.746883049,5.474404646,2.495544916
37.76702163,17.32604992,11.09403642,6.124198648,1.206598971
40.80356981,16.72126813,11.31675451,4.533965643,1.43052929
43.41660885,17.80500375,11.54946528,5.807854706,2.268925716
30.85811471,15.61949933,10.34463503,7.520278641,1.490525625
48.10555132,17.58542383,10.10636301,7.043298805,2.572967125
38.18060543,17.0526449,9.184850257,6.2218964,2.507808787
38.93741899,12.76676359,11.11489439,6.729599647,1.849623272
46.79482403,12.75952616,8.148741281,4.437091422,1.740926002
36.30473459,12.13168533,9.593759124,5.560336041,1.3183356
38.81456574,12.48251816,11.09393284,6.911799848,0.856462676
38.43038025,16.42361268,11.83674044,5.228505641,2.300547656
38.55070639,13.90603228,8.819412465,7.325105691,0.966118031
46.81765301,13.93910067,10.12069012,5.325475085,1.163956401
31.9085123,15.61228395,10.17731738,5.966422952,0.679637704
30.40658391,14.00916428,8.627194675,5.315807537,2.16558341
48.87979527,16.19995866,10.0498013,4.736470162,2.610455925
42.79452677,15.50882329,9.731520034,4.749493897,2.090099583
38.75496835,12.87545838,9.913446683,7.882655711,2.125928635
38.34244262,16.80631231,11.06092974,7.559503989,2.56213768
46.18605382,12.21940119,9.554250828,4.441172353,2.581001877
33.247397,12.45201547,11.34736305,7.651877763,2.688856456
44.25308577,13.05637081,9.646233181,6.783324869,2.733851413
45.83723617,14.85078471,9.34407472,6.758874392,0.782954896
36.84238031,14.10345851,9.760019444,7.631297435,1.219194722
43.7150656,16.71035533,11.73255639,6.962043966,2.206780463
36.9994596,16.57010769,8.631214155,5.14193541,0.552791615
45.62380847,14.84856876,10.74409456,5.000425399,1.378959854
37.63857751,17.8973597,8.47800735,6.389597046,1.676428988
47.43884405,14.86520533,9.6684879,6.354831191,1.853720935
44.02787573,15.92985946,8.466748743,7.230572898,2.694324261
45.96969646,12.23122581,10.59186171,6.285363935,0.711079039
31.18963088,15.31005941,11.41658869,7.357287787,2.512867953
34.38776471,13.36867851,10.64284428,7.32082504,0.988600379
49.09991747,16.23773759,11.06517421,6.965572726,1.935282519
31.8833178,16.51226984,10.60804496,6.04818992,2.000490636
38.10194604,16.97597053,8.8872626,5.702167456,0.973313089
47.19185899,14.57755644,11.4963937,7.978442933,2.492954374
39.37043083,16.41387971,10.63684697,6.622985315,0.768323711
34.88902539,17.50139828,8.285037987,5.745230243,2.031312799
38.02244514,15.99657902,10.62706813,7.807699167,1.416977162
40.01276834,17.88833553,8.66987172,6.290433342,2.536635718
43.20765776,14.02812098,11.49847021,5.439223233,0.648377232
34.68030386,12.77059672,9.792328673,6.655845333,2.903417507
48.63825625,16.99562848,9.361755104,5.379069733,1.557669161
49.90803648,16.71488291,11.04028335,4.894562681,1.997887327
46.48271727,17.01288684,10.85652918,4.073990525,2.138840966
46.17235015,12.26889001,9.561556698,6.923687316,2.857625493
48.2761686,15.28532381,8.642850721,4.297915082,1.813852815
45.79056513,12.91604485,9.793884855,7.413240379,0.704458159
40.14662125,17.60880137,11.3890695,7.248795546,1.611302553
33.5908617,13.13870538,8.518530633,7.23577924,1.46801323
31.6070962,12.18005479,8.520264625,5.183578139,1.490866922
49.58701828,15.25039383,10.90668435,4.196933529,2.340578233
48.6865848,13.02812248,8.286966306,7.626650913,0.678978205
41.0662589,16.43239105,8.893205395,7.099678932,2.244835988
34.28169277,12.8031835,8.815007576,5.115141747,1.635682789
49.60242105,16.69324778,8.562023487,5.904051086,1.77110708
49.14419494,15.09498842,9.619420814,5.69296712,0.786004469
34.02322218,17.53326475,10.98711022,7.027178642,2.548807265
30.10498304,17.5341106,10.2390351,4.443964797,2.31411631
47.71896336,16.08321947,8.170177368,6.978019789,2.427795362
37.23284459,15.713995,10.1480814,4.934322446,1.079561741
44.19956678,12.53645624,9.771713901,7.824607702,1.379378094
43.67621755,14.94064285,9.902620811,7.820667585,1.820364694
32.52946319,15.5984674,10.8876461,7.320926185,1.839501901
36.83113533,15.0108879,10.28947532,5.244442624,2.312830595
47.42380341,15.34225368,11.74073211,4.58418704,2.862992192
48.71809404,13.96452091,8.662020031,6.070523971,2.605827537
42.09860754,13.01664543,10.35929242,4.519131714,1.066412705
34.10720477,12.43343925,8.053768548,6.578748171,1.657684562
37.16394112,16.70978594,9.808235273,7.023771894,2.750273173
38.65590378,12.22861687,8.721112578,7.095221539,1.232467939
37.28002736,17.95389395,10.56826891,4.046285866,1.684327235
31.81675569,17.42895242,9.760928604,5.691428436,2.222144533
43.71890017,13.52971621,10.49233338,5.377410785,1.779066057
49.28535245,14.69781614,9.47723937,6.789635535,2.168660386
31.92351894,17.19797324,9.929850424,5.020071068,0.941556184
33.2864809,13.81111296,9.894190781,7.353233601,2.316442358
33.79094344,16.59540576,10.2039927,4.324062943,0.895193711
49.30065738,13.18165699,10.09826793,6.299127695,2.607640121
32.81308061,13.42540407,9.319093071,5.133804622,1.219453866
47.66613062,16.20786475,8.034132805,5.495960894,0.693857504
42.59282634,16.38623114,9.971137151,4.107733905,2.532379456
49.94977641,15.00121766,11.87510244,4.69972623,2.047826262
33.17897218,13.14221495,9.642793404,5.573552496,0.769009117
35.41488551,14.3475397,11.58461018,4.933357537,0.766362706
33.57350688,16.07757058,8.802808006,7.322153685,1.792349907
48.29424548,17.21349571,8.122227393,5.53441728,2.276270832
39.13839513,16.39513153,8.66536595,4.215128881,1.068127263
49.96707758,12.20739595,10.90200017,4.244325993,1.01197337
37.94953078,17.15888319,10.90013002,4.657276919,0.881434805
42.25312035,12.12578769,9.42098534,4.616181162,2.574972826
44.48193937,14.62748847,11.31348982,4.200712425,2.673406186
32.01661467,15.51416423,9.573100372,5.811887,1.344332995
34.18892552,13.78397067,10.08177452,4.63323908,0.954867022
46.13658743,15.63281597,11.30885791,6.086779624,2.735437272
44.29146756,12.10821082,8.119751944,7.74546186,2.971780365
48.91916444,16.23393823,11.51036589,4.07963956,0.585156455
47.77384578,12.55545207,9.246567502,4.439433026,2.878559203
48.38563248,17.46438168,10.49214567,4.569848943,1.486261382
39.3357939,16.39235183,9.391389843,6.476706865,2.008561978
31.78490011,15.07849882,8.363171188,6.150206354,2.979840387
39.8054568,16.92883759,8.00555836,4.273608183,2.418390316
44.58967068,17.34946986,10.53367323,7.167487077,2.306576107
30.75997694,17.35665158,9.500171259,5.169438616,1.383699355
43.40240518,17.61785082,11.41529917,5.303410696,1.164544178
41.1009641,12.2720886,9.34792932,5.26148606,1.777343312
35.92728043,17.43257887,11.6248595,7.639044952,2.148629796
46.48247242,12.3049102,11.07068613,4.819073416,0.849142969
30.7629975,17.54620907,8.616839154,6.878281609,2.501705431
47.87232582,14.09687642,10.44823853,4.075049751,1.665145985
44.31209565,15.16461067,10.95426292,4.036859722,1.34406786
48.22878958,17.82977978,10.98825081,4.419359993,1.221061829
36.79609904,17.04584135,11.94396127,5.138083729,2.188776523
34.1311922,12.3040448,10.08125108,6.338086764,0.545025114
41.28518628,14.89815386,9.471505077,7.958086296,1.986110294
44.79136538,16.56019351,8.326342817,7.059224552,1.579558218
