Gamma,Beta,Alpha,Theta,Delta
80.18757228,25.55778728,5.302787593,5.565144093,0.795891504
80.17909456,27.07663792,7.287027981,4.07254353,1.45180536
96.14993119,27.80226462,7.793617222,2.828243671,1.209054626
98.62040449,26.45128847,6.648311703,4.571116535,1.102298469
91.82093782,26.84837575,7.71271064,3.86657861,1.092017987
91.3067876,29.01311896,5.713937232,4.288679387,0.565554127
81.20474478,28.69168171,6.744117477,5.190914728,1.176063796
90.36181034,29.93117052,6.409018807,3.930478308,0.968083887
84.74320247,28.50375759,6.094678732,2.175886962,0.794970714
80.6581228,26.46597444,6.810930204,4.657676191,0.905428294
80.48589952,29.0857203,7.160832096,3.071629386,0.668326767
96.88053101,25.37411982,7.701391605,3.806112108,0.936653154
84.87029951,26.70242475,6.203833156,3.476045817,0.749710964
93.02202766,25.35256722,6.757193442,2.038185697,0.831747991
85.86469153,28.87843521,5.808663642,4.891089799,0.50938148
95.2484969,27.01875951,5.352740843,2.180672609,1.450643743
96.70118856,25.73312097,7.972063599,5.570418729,1.006888614
97.70482156,25.47675448,5.50985299,4.745739974,0.696380428
92.99809268,26.28020874,7.027032556,4.369808352,0.507747042
91.38462576,26.29346697,6.691071306,5.480917213,0.855772513
91.13184216,27.60599277,5.838758471,2.31709641,1.403243875
95.96564932,26.94020129,5.416968203,2.908884087,0.533557795
89.07719749,29.85739049,6.844898301,4.564597278,1.111118628
98.80299776,28.98902041,7.958442575,2.620688274,0.60049232
82.65611887,28.5996189,6.313311809,2.712151772,1.391892919
83.71071625,25.78479704,5.286529601,5.841165084,0.749200432
82.7671065,28.50740722,5.518353166,5.237514465,1.357826299
81.61176198,26.84614339,7.362206444,3.496073967,1.071312221
85.31499369,26.85804926,6.485612843,2.824625664,0.634652839
92.89379509,25.52626735,5.492260751,3.51400653,1.376960227
84.85543743,27.88648129,5.435038696,5.001033678,0.966212756
91.95233198,27.93340094,5.288826156,3.936584934,0.782704422
99.30486939,28.39172418,7.923511346,5.576455437,1.490510599
97.14199533,25.25775074,7.291962591,4.234170717,1.241492058
88.63702182,28.8130768,5.054657705,3.782123842,1.16715336
89.6269391,27.5426326,7.542963657,2.305371411,1.032092864
83.49074702,26.16562656,7.949152699,3.096096457,1.052161009
88.83996019,27.81996611,5.469369517,5.097777502,1.269296012
84.09650213,29.25912769,7.103192837,2.79878852,0.87078799
87.18131649,29.93567078,7.977331385,2.386676103,0.99196798
98.30915859,25.47821623,6.470345212,3.378247251,0.913652544
99.56508983,28.21283395,6.098643841,4.403855448,0.926735633
91.73882282,29.00179042,5.985804723,3.852696427,0.798083865
88.33767179,29.89612663,7.579387881,4.438679234,1.391511454
81.41649615,26.60143323,6.873477694,4.300262687,0.530167486
98.5917035,26.27932465,7.936889145,2.508147331,0.833279087
96.27281556,27.01433945,7.497906489,5.115651189,0.832589679
98.63295416,26.77276789,7.444415814,3.09088433,0.734944695
99.22870727,28.13805711,6.977154154,3.714668174,0.739252453
86.17262059,25.25782752,7.386915099,3.095484537,0.731500429
95.77551054,25.49471054,7.765700418,2.50338067,0.556989191
97.77841959,29.21082533,7.076459733,2.895379152,0.78562744
82.68724928,27.04026485,7.027215506,5.04204481,1.266420627
86.09114809,28.77281405,5.854425689,3.123919115,1.045204412
91.27647288,27.34673948,7.534571446,2.891178247,0.697807776
90.31563843,29.5290813,5.384472173,3.604213147,0.538806232
87.63682402,28.1732564,5.580214207,2.602893248,0.829901772
89.90899947,25.97383336,7.024818449,3.456270578,1.204557326
85.75492111,29.57883226,5.400287971,5.577710641,1.155971202
83.47437431,28.75508638,7.770205971,2.065604228,0.773797613
80.89718619,27.39119803,5.699707793,2.102101179,0.554992837
81.08966373,27.3769516,7.430955708,4.44754971,1.474451427
98.6082031,28.56952726,7.787623983,3.084123096,0.84263745
80.00950929,26.01504955,5.228144398,2.985842037,0.948177321
84.56894842,28.18215064,5.221985931,5.352309019,1.372766947
96.83531192,27.8433382,7.095178115,5.270762182,1.167990934
93.29455116,28.83795238,7.584669046,2.732318207,0.59577296
83.47715921,27.46771661,5.014999561,5.781694837,1.243517055
83.04652569,26.66750605,5.022854514,5.2837686,1.296081335
93.22766071,26.21252183,5.676807254,2.411282819,1.094526018
92.94448486,25.76657007,5.9000563,2.431210716,1.26232363
81.23842207,25.6437875,6.769087262,4.262082393,0.662359159
95.61684683,25.09450723,6.236793104,2.224032842,1.478039896
86.17029837,29.24925652,7.756315007,2.652132919,1.295231372
95.88665353,29.75599442,6.576113234,2.466022661,1.238403913
88.86745165,26.17466995,6.632401596,3.527823174,0.900161918
94.91357753,25.0895423,6.273480581,2.631431696,0.519493435
91.50563369,28.86554099,7.308903942,3.728758334,0.803353137
98.7358062,26.14032631,7.755130492,4.208491813,1.121437855
88.99007083,25.87330816,5.590101306,4.903846648,0.809910037
88.57582191,29.24530432,5.415787995,2.844430024,0.612188818
81.55684033,25.28241063,6.268750951,4.237912792,1.474387054
85.79323077,28.69571938,6.6278472,5.420003359,1.251548174
90.5731073,29.90773779,5.444193432,3.578160231,1.372221616
97.62445412,25.68979431,6.048615435,4.739011214,1.336457744
82.03669981,25.31423762,6.504770819,3.313539556,0.987260688
96.78322957,25.26468452,5.215878414,3.548011931,1.135428015
86.87365852,29.0459082,5.627167801,3.936409194,1.233226422
84.59432163,29.44667937,6.580812707,2.204428883,1.014986497
99.20179638,27.80678705,5.560669501,2.868234156,1.223645384
93.37410925,26.50060032,7.830869648,5.562686825,1.051164798
92.82513944,25.91473452,6.483539413,3.532500898,1.486964916
87.20113144,29.30003973,6.515365227,2.258434239,1.263225755
93.64552261,25.37711656,5.933865122,2.314906648,0.74187031
94.93642059,25.89596498,7.030321246,4.362811256,0.579527729
89.48994727,28.14790963,7.756836203,5.206017516,1.324286854
91.74137681,28.85172717,5.43824324,5.597501706,1.19237828
89.76842598,25.66663054,5.888734812,4.241953379,0.501935971
80.15978605,26.54433486,6.532039779,3.65238328,0.775230286
94.15925928,25.07150771,6.491693725,4.721340494,1.381003061
90.54319189,29.20447707,5.342928522,3.216002087,0.634096161
94.86794283,29.47938578,6.236611965,2.235829302,0.870000986
94.62065198,29.89598906,6.020783051,5.463743479,0.75960835
93.94271138,25.94067484,7.157662339,5.948828074,0.549448599
98.93587312,27.82490658,7.397146866,2.551130803,1.271164514
90.82645907,29.76290963,5.791422018,5.818503796,0.657067416
86.24339026,25.61359793,6.193250769,2.38767227,1.301377955
88.78970413,27.01589517,5.725669803,2.18252884,1.070280254
84.18035954,29.4733843,6.722710296,2.27454866,1.391842001
84.26182307,27.28400062,5.421846779,4.923381874,1.153223592
92.34024518,27.43480688,7.028478243,2.678213105,1.357534732
97.28124743,27.73392574,7.959961398,2.769442444,0.654319092
86.92857644,28.41213661,5.857351776,4.170128595,1.333154553
95.2583906,29.21253667,7.106255142,5.229354963,0.966450529
84.58981425,27.223595,5.050342336,3.45128174,0.521637577
86.96110573,29.78413854,7.68167705,2.217457893,1.155222439
88.23456093,29.33263846,6.025313647,4.252008572,1.470194975
91.21675693,29.19025105,7.20425903,3.745598392,0.512668735
89.10436131,27.45069617,7.807212313,2.426657201,1.174959766
81.0663072,28.87286217,7.331154149,2.334360101,0.616265035
92.5398716,26.89003932,5.459208068,2.869797209,1.141294365
82.40479032,27.95035536,7.101378904,3.652717626,0.65641908
88.82727144,29.64442027,5.357831511,2.29331032,0.852763718
99.33417392,28.37677476,7.812097706,3.156302644,0.754939878
97.97321606,25.65901877,5.685518762,2.40829531,0.541252195
98.86927791,25.21039091,7.865075858,5.074965379,1.098528526
87.78818978,25.41473323,5.201131781,3.491995258,1.316240653
83.59403693,28.37654541,7.425457004,2.734658048,1.450546265
86.31328967,26.67260713,5.391765409,3.735019608,0.980565905
88.53690842,26.73723954,6.661977493,3.584757874,1.316937552
97.02441,27.82562801,7.796033593,4.951756744,1.012924224
83.39631485,28.10497023,7.839738144,5.282217989,0.695448177
95.25563938,28.94745023,7.157241487,4.328018773,0.857581669
94.69979446,29.91641985,7.997130458,2.260195026,1.09013573
91.56662995,28.3911353,6.865875237,4.982296786,1.418432779
83.90409593,28.60502384,5.642330017,4.25516464,1.499315733
98.59545,29.73968964,6.624658221,5.678594546,0.674148235
95.63381302,29.40398121,6.293356964,5.43981826,0.602935802
82.50496216,25.69006792,5.590782936,5.366997163,0.904275924
82.96323044,26.94900968,7.387600566,2.314051447,1.041050555
86.74949678,27.34284286,5.037645232,3.270220226,1.125845777
87.15376976,28.07071648,7.32861416,3.947731179,0.51904112
97.13079282,29.05701071,5.683425727,5.797640992,0.688703427
95.40862886,29.33079,5.626406658,4.82985086,1.031787713
89.24682665,29.51529815,6.259227617,3.163151145,1.135032611
83.89461406,29.62769932,5.149215842,3.78570888,0.663495714
97.82439067,28.20207744,5.868889568,5.650588499,1.379721878
94.45766225,28.55067695,6.779888219,4.197366962,1.064411543
99.41328905,29.3106994,6.351067631,2.050957832,0.990080418
81.38472102,29.37588287,7.46085184,5.63684813,1.042167652
91.72997348,27.20933795,6.936913076,2.007667476,1.349722354
98.79834063,27.08083144,7.144492887,5.745695115,0.858865107
80.63137446,27.31105349,5.211173148,3.155816852,0.925355067
80.52148446,28.34244848,7.484414364,4.567774137,1.122077786
82.53438126,26.96886023,6.665082436,2.992905076,0.918647657
82.79118816,25.46962711,6.005551368,5.070996398,1.4105732
95.12533396,29.47442419,5.448468764,5.440662021,1.345823976
81.11689581,26.71778463,6.358846332,5.021889805,0.996049239
87.22643035,27.83839941,5.293680521,4.462643189,1.230231824
98.88606035,26.57366822,5.000403358,3.030335324,0.79925864
84.41993705,29.98027042,7.473488357,5.86011762,1.264450582
90.080994,25.3112244,5.130450362,2.742315568,0.842489461
94.69191568,29.30715284,7.094993451,3.730221511,1.036042542
93.84071275,25.73030323,7.235154175,2.208609406,0.694464881
86.22056016,26.10880632,6.83762853,4.918696771,0.760508822
91.61835764,27.02514171,6.917951483,4.934857639,0.921403506
93.33753248,26.79081441,6.685204067,5.286421322,0.828544938
84.25081981,28.17645906,5.205710502,3.080531187,1.223659676
98.12152765,28.53881098,6.524838181,3.903542056,0.783804979
91.8577705,25.98699482,7.023941748,5.017201132,0.878052035
91.13951062,28.60122485,6.998189394,2.561783497,0.589629135
89.14228991,29.43707015,7.558472738,4.639397188,1.054809956
85.23932752,29.30652843,6.206393542,4.025227499,1.131877135
98.1652971,29.33698014,7.174599974,2.975432087,1.170407797
88.9936342,27.13783482,6.096658155,3.617746781,0.691161787
94.10303732,29.5293104,6.722573957,3.155321987,0.624713104
89.37608525,26.56291976,7.705073681,5.62451622,1.153620459
82.52708974,25.63594134,5.842746853,3.351197652,1.488617836
96.46811753,25.35762415,6.15456948,4.717557159,0.801186526
87.10378632,28.73562774,6.675839833,3.587175311,1.010323641
91.95728329,27.91603053,7.767196686,3.549865761,1.11478754
88.32652683,28.79984192,5.083549016,3.112857147,0.786435484
95.04068445,29.76668856,5.652526416,3.08061952,1.385132528
92.07131386,26.06679914,5.339145466,5.955037961,1.060107615
81.79552549,27.21192264,6.521672869,4.828523237,0.687199143
96.43924884,28.49127614,7.445704544,4.622611444,0.6302853
89.45485285,28.15663137,5.318450629,5.742089994,0.79632509
85.50196618,27.44392798,5.397161971,4.423365238,1.200475788
84.69869498,28.92139322,7.137553769,2.132491743,0.58275305
80.64547474,29.34942674,7.911574836,3.54286437,1.030797765
86.19063274,27.66358488,6.189134289,3.124751588,0.577856955
98.33980167,28.51379469,6.804749831,2.558805512,0.72907877
89.94283567,29.15765569,5.083129307,5.585810572,0.792738721
96.48382785,25.83943385,5.78682649,3.674185875,0.669924527
96.61752856,29.87848397,5.365706492,2.216747575,1.192671828
85.19649539,28.23566036,6.181334658,3.967123076,1.452992585
80.18436277,28.62830001,7.607119699,3.536834201,1.325449294
84.17833788,27.81404231,5.781568888,2.735363082,1.059039787
94.69864989,27.08915891,7.400857746,4.515730429,1.007748965
91.14464778,29.91725499,6.473431883,2.514554077,0.648150749
97.70201369,25.95531091,5.53742306,3.737616655,0.682736585
85.9602847,28.06104781,5.571413542,4.754431258,0.95503884
96.87077098,25.2561441,5.747166331,2.357850292,0.61772642
80.72529257,25.39729292,6.998004827,5.671858662,0.775721481
84.01360125,29.62089313,6.19631314,2.319692646,0.984127503
85.96689891,27.64234673,5.799595393,2.448447027,1.352229726
93.22927789,25.43338181,7.079007153,3.513384452,0.579625923
83.21685899,28.58053772,6.08009619,5.488561297,1.07705985
95.94993526,27.47433396,6.49015097,3.28235919,0.532525553
82.41458131,27.41974624,5.797259586,4.24878548,1.152956616
95.98930406,27.29324527,5.608640711,5.859975005,0.517089549
94.4533589,29.15833339,6.867575187,4.020571357,0.68566227
99.16619223,28.62644477,6.583738007,5.398786613,0.590486459
91.79172184,27.25158263,7.763551389,3.503159459,0.91864379
99.54145096,28.98041618,6.148949889,4.200438923,1.050432797
83.69423486,29.17591178,5.190336778,5.674581531,1.175604375
89.75899647,29.68883617,7.839468093,5.395182966,1.193868893
85.55925928,27.07172545,5.909537269,5.970576283,0.960954553
83.3862971,26.43329372,6.874745817,5.522763656,0.847475503
92.66746511,26.00850259,7.386807677,3.757194613,1.300547921
85.88941492,25.83256345,7.216237047,2.328214017,1.484411744
89.96575236,26.22930598,7.513244896,5.885397562,1.3315371
96.09361001,28.58512337,7.854053206,5.689754531,0.787784282
84.32009061,25.38158656,6.381792896,5.62649966,0.868476668
82.59785171,28.13291671,5.832329557,2.652148219,1.028566243
93.09883055,29.34921165,7.006714041,5.252907604,0.902475868
90.44115234,29.59450973,5.004774876,2.017844062,0.788047671
85.31022865,25.56038501,7.299994407,5.012452947,1.036258935
88.27477951,25.16815073,6.819986293,5.816935938,1.43983945
94.0175901,26.71737647,7.717013842,3.247058598,1.445018382
82.17195046,27.62786818,7.16748103,4.916928755,1.230297329
90.52894358,29.03255183,5.159463687,4.013500026,0.797756449
82.51219916,27.33073805,7.942501081,5.702590036,1.273421262
82.82774664,28.16838473,6.934083877,3.312386002,0.541503977
88.8722464,29.64783065,5.016489374,4.470067668,1.41822541
81.43344581,28.33200597,6.855422715,3.825710838,1.176286379
85.81811487,29.54613415,5.623305084,2.801914671,1.054145492
92.20935686,28.75329928,5.484426008,4.564317612,0.659965616
95.28584569,25.34747418,5.495292487,5.225596201,0.886550629
91.42030404,26.77750253,6.637946551,2.062718779,0.611879551
93.54475624,25.56548476,5.33588758,4.346328683,1.185649532
82.46055542,27.44619455,5.279484019,2.987865092,1.256541663
99.61453133,28.55369428,5.567474774,5.031457964,0.946137566
80.24292765,27.58052612,5.439238285,5.114386054,0.908771255
94.95931289,28.76679056,6.065484286,3.362752919,0.707300682
92.97101573,29.39684772,5.3679904,4.003925741,1.453098
96.15705455,28.77030202,6.688564767,4.376939184,1.383533189
81.46842998,26.03266187,6.339202687,4.753463181,1.044121913
98.27520391,28.629971,6.387190606,2.767946198,1.325872384
90.80402683,28.98031593,5.330229452,5.157554847,1.045238424
83.84927003,27.97643843,5.759869638,3.180613726,1.204849741
86.54495183,26.25437237,5.761489351,3.982937812,1.296782441
98.28066999,27.98053239,6.833812524,3.089346933,1.419206376
88.21598372,28.37920405,6.533860856,2.763250582,0.887090146
95.61006305,28.82097026,6.036549768,4.700018958,0.516182809
80.13531889,28.17114354,7.030285529,2.022492734,1.410697042
85.90208087,29.14921195,7.508383265,3.067535162,1.233317664
88.83501001,29.0232287,5.645233523,4.074043237,1.393274693
89.0129901,26.23958093,7.22047713,4.431870423,1.213928287
92.65424653,28.73921785,7.398342571,3.2499888,1.129181602
88.07796986,28.23245216,5.491760566,5.361090265,0.647097531
99.19736629,28.6392027,7.158130114,2.125484357,1.394320277
93.98206575,28.95337208,6.826700558,3.167285723,0.79077983
92.49403156,28.4209687,7.688090667,2.380336926,1.173182581
91.09927722,27.67956597,5.954826483,5.888409145,0.76370403
83.77957869,29.97754287,7.936264821,3.706721076,1.422126479
97.83805435,29.43360567,6.907440073,2.284899756,0.93873321
92.77927148,29.6217652,5.211890979,2.265041699,1.498688831
99.54239414,26.68251526,7.356286807,2.392337232,1.283918678
93.21681432,26.30975757,7.697489221,4.426189364,0.727529837
86.00407514,28.12236073,5.249924292,4.9683444,0.890022497
92.64808991,29.09260922,7.291265094,4.952782351,0.752722848
91.78509849,26.00653578,5.890789694,4.386353279,1.229285653
91.28748613,28.17667303,5.25856254,5.300032073,0.840557083
81.90286321,25.59784602,5.048683922,3.511829774,1.323882163
93.94281086,28.66175303,5.245439362,3.045733293,1.042453295
80.97470626,29.41716923,5.604088814,2.209066348,0.63840133
98.86511327,25.00461497,7.830245908,5.075597866,1.397836658
91.97218892,25.09393921,6.949498896,3.600806665,1.226488065
93.53920566,26.13014769,6.792061228,2.97363443,0.809141911
84.46302522,27.35479903,5.280776957,4.548135045,0.776878923
96.71332387,29.17231702,7.15460651,5.05994145,0.758982521
95.49329292,28.2416632,7.205952376,2.258352202,1.478097339
87.32341741,25.04722476,6.123610183,5.200067908,1.023511371
96.39890774,28.79798911,5.86290482,3.705057006,0.614015935
81.42223278,27.90156453,7.150511719,5.915894275,0.801761006
89.54908706,28.18834082,7.363998605,3.814513499,0.877745707
89.95385018,29.56338127,7.196051363,2.413800672,1.274224584
99.43064988,25.35713151,5.471817284,3.358093511,0.769877854
87.62562343,25.97779782,5.622135978,5.694404091,1.040761242
87.41256661,27.79960846,5.813639162,2.706616688,1.339169625
87.4246425,25.07714058,6.362403224,3.054931308,0.945063974
98.98223925,27.67112928,5.027825802,5.411607022,1.483411077
92.94732386,25.93466197,5.762414183,5.307810068,0.954773803
91.06974117,28.75937477,5.596077466,4.509884196,1.276172793
99.39936848,27.21044637,7.196159561,4.257052312,0.751332787
86.25465303,27.13237986,7.879702316,3.195530076,0.686602721
88.012342,29.37205758,5.450132838,5.844573101,0.669659686
95.32822734,25.45190788,6.967557504,3.421362548,0.962569331
82.2174696,26.55239471,6.612951285,2.775107036,0.907472971
92.53629621,27.02667428,6.787306306,3.582816041,0.81984997
81.05825401,26.79918374,5.44472229,5.998451131,1.288384696
82.44632568,27.23807326,6.596367665,2.121338017,1.019088221
98.93647549,28.93864709,6.358706786,4.000007237,0.715432437
80.39413868,29.75770069,7.449574412,3.162819507,1.077590868
97.70130719,29.81602187,5.444748916,3.449734507,0.890239886
85.26878395,25.89083031,5.464986328,3.847677094,1.270396075
86.85725933,26.61228503,5.741165204,5.464403438,1.060118352
88.06564452,29.70977098,6.98610039,3.962495984,0.858638377
99.90188688,26.92076019,7.425126841,5.874519942,1.260589116
85.84572067,29.82589804,7.404368927,5.59525826,0.752289353
81.74722413,29.87791116,5.970105814,5.130008551,0.903924527
81.28756243,29.17168773,7.788838859,4.305356406,0.979702584
89.06537212,27.19122042,5.697055722,2.864023118,0.648032177
80.38323889,29.73721805,6.478301954,4.875964301,1.113029045
90.1382463,25.35572055,6.974079153,2.661280482,1.048657529
97.55543066,28.25753038,5.248620653,5.542759255,0.537403277
86.54285304,25.32092641,5.205587442,4.088861605,0.671719151
97.22700533,28.58476725,5.021501439,4.60593494,1.296152571
92.66655862,27.66675122,5.543479288,2.278059712,1.145279093
96.46982415,28.55691504,5.038765958,3.83883965,0.965528827
88.17447853,28.9431979,7.560209099,4.890908762,1.447878217
86.65548208,28.72440186,7.664563281,2.500244032,0.512028001
91.29161071,26.93960199,7.565547839,5.021666217,1.207694062
